student_id,concept_id,concept_name,subject_id,difficulty,mastery,questions_correct,questions_total,accuracy,avg_response_time,practice_sessions,reassessment_flag,improvement,target_status
4,37,Object-Oriented Programming,3,Intermediate,59.83,2,6,33.33,42.35,1,1,-4.32,Weak
4,33,Programming Fundamentals,3,Beginner,68.74,5,6,83.33,38.84,7,1,16.1,Adequate
4,1,Number Systems,1,Beginner,62.47,4,6,66.67,32.51,2,0,0.0,Adequate
4,25,Electric Circuits,2,Intermediate,54.96,1,6,16.67,50.78,3,0,0.0,Weak
4,27,Electromagnetism,2,Advanced,46.53,0,6,0.0,28.66,1,0,0.0,Weak
4,38,Database Fundamentals,3,Intermediate,62.65,5,6,83.33,33.98,2,0,0.0,Adequate
4,43,Artificial Intelligence Fundamentals,3,Advanced,36.18,2,6,33.33,43.23,3,0,0.0,Critical
4,7,Functions,1,Intermediate,47.91,4,6,66.67,48.78,2,0,0.0,Weak
4,42,Advanced Data Structures,3,Advanced,33.82,2,6,33.33,41.11,3,1,-0.04,Critical
4,41,Algorithm Analysis,3,Advanced,41.89,3,6,50.0,17.77,3,0,0.0,Weak
4,3,Linear Equations,1,Beginner,69.72,5,6,83.33,42.63,2,0,0.0,Adequate
4,2,Algebraic Expressions,1,Beginner,84.29,4,6,66.67,27.34,3,1,10.16,Strong
5,29,Modern Physics,2,Advanced,12.4,0,6,0.0,22.82,2,0,0.0,Critical
5,39,Computer Networks,3,Intermediate,37.44,1,6,16.67,35.0,0,0,0.0,Critical
5,33,Programming Fundamentals,3,Beginner,53.69,3,6,50.0,32.96,5,0,0.0,Weak
5,38,Database Fundamentals,3,Intermediate,39.55,2,6,33.33,36.24,5,0,0.0,Critical
5,23,Circular Motion,2,Intermediate,36.43,0,6,0.0,39.21,4,1,30.39,Critical
5,43,Artificial Intelligence Fundamentals,3,Advanced,29.36,1,6,16.67,21.87,7,1,22.63,Critical
5,34,Data Representation,3,Beginner,60.63,5,6,83.33,57.19,3,0,0.0,Adequate
5,32,Algorithms,3,Beginner,43.67,3,6,50.0,11.86,3,0,0.0,Weak
5,19,Energy,2,Beginner,35.62,2,6,33.33,47.29,4,0,0.0,Critical
5,27,Electromagnetism,2,Advanced,26.94,0,6,0.0,60.62,6,0,0.0,Critical
5,31,Computational Thinking,3,Beginner,43.82,5,6,83.33,31.08,7,0,0.0,Weak
5,13,Integrals,1,Advanced,38.28,3,6,50.0,39.98,3,0,0.0,Critical
6,20,Electricity Basics,2,Beginner,13.88,1,6,16.67,68.65,3,0,0.0,Critical
6,2,Algebraic Expressions,1,Beginner,18.63,0,6,0.0,57.34,1,0,0.0,Critical
6,39,Computer Networks,3,Intermediate,6.6,2,6,33.33,40.41,5,0,0.0,Critical
6,27,Electromagnetism,2,Advanced,41.52,3,6,50.0,47.8,5,0,0.0,Weak
6,8,Systems of Equations,1,Intermediate,17.92,0,6,0.0,34.09,1,1,-3.4,Critical
6,13,Integrals,1,Advanced,14.75,1,6,16.67,36.94,2,0,0.0,Critical
6,37,Object-Oriented Programming,3,Intermediate,1.51,0,6,0.0,44.65,0,0,0.0,Critical
6,43,Artificial Intelligence Fundamentals,3,Advanced,0.0,0,6,0.0,64.33,6,0,0.0,Critical
6,21,Momentum,2,Intermediate,27.76,0,6,0.0,15.01,4,0,0.0,Critical
6,28,Optics,2,Advanced,10.06,1,6,16.67,69.94,6,1,20.63,Critical
6,12,Derivatives,1,Advanced,8.62,0,6,0.0,41.2,0,1,8.83,Critical
6,15,Advanced Probability,1,Advanced,10.5,0,6,0.0,48.09,1,1,13.25,Critical
6,10,Probability,1,Intermediate,5.97,1,6,16.67,24.38,7,1,4.83,Critical
6,33,Programming Fundamentals,3,Beginner,2.91,0,6,0.0,62.02,0,0,0.0,Critical
6,23,Circular Motion,2,Intermediate,2.52,0,6,0.0,38.97,4,1,-5.69,Critical
7,41,Algorithm Analysis,3,Advanced,62.09,4,6,66.67,58.77,4,1,17.97,Adequate
7,24,Waves,2,Intermediate,46.49,3,6,50.0,42.47,4,1,-10.0,Weak
7,15,Advanced Probability,1,Advanced,26.21,2,6,33.33,33.19,4,0,0.0,Critical
7,33,Programming Fundamentals,3,Beginner,65.81,3,6,50.0,35.93,7,0,0.0,Adequate
7,5,Basic Geometry,1,Beginner,50.88,2,6,33.33,34.05,0,0,0.0,Weak
7,35,Computer Systems Basics,3,Beginner,69.55,4,6,66.67,42.97,5,0,0.0,Adequate
7,23,Circular Motion,2,Intermediate,52.05,2,6,33.33,48.2,5,0,0.0,Weak
7,7,Functions,1,Intermediate,48.09,3,6,50.0,47.04,1,0,0.0,Weak
7,9,Trigonometry,1,Intermediate,43.68,3,6,50.0,35.71,5,1,18.21,Weak
7,43,Artificial Intelligence Fundamentals,3,Advanced,51.26,2,6,33.33,38.94,0,0,0.0,Weak
7,31,Computational Thinking,3,Beginner,64.62,3,6,50.0,47.13,2,1,21.05,Adequate
7,45,Computer Architecture,3,Advanced,53.46,2,6,33.33,24.1,7,0,0.0,Weak
7,26,Thermodynamics,2,Advanced,61.25,4,6,66.67,56.45,6,0,0.0,Adequate
8,27,Electromagnetism,2,Advanced,43.01,3,6,50.0,33.34,4,0,0.0,Weak
8,18,Forces,2,Beginner,66.41,2,6,33.33,51.57,4,0,0.0,Adequate
8,42,Advanced Data Structures,3,Advanced,61.29,2,6,33.33,46.74,1,0,0.0,Adequate
8,39,Computer Networks,3,Intermediate,53.3,4,6,66.67,42.07,5,1,15.68,Weak
8,17,Motion,2,Beginner,56.49,2,6,33.33,33.5,3,1,20.36,Weak
9,33,Programming Fundamentals,3,Beginner,34.77,2,6,33.33,28.35,5,0,0.0,Critical
9,29,Modern Physics,2,Advanced,29.4,0,6,0.0,26.3,3,0,0.0,Critical
9,3,Linear Equations,1,Beginner,58.36,2,6,33.33,54.23,4,0,0.0,Weak
9,21,Momentum,2,Intermediate,57.59,4,6,66.67,36.31,4,1,-2.44,Weak
9,6,Quadratic Equations,1,Intermediate,38.21,3,6,50.0,33.58,1,1,-8.26,Critical
9,43,Artificial Intelligence Fundamentals,3,Advanced,2.47,0,6,0.0,31.33,1,1,-1.85,Critical
9,27,Electromagnetism,2,Advanced,40.82,1,6,16.67,46.07,3,0,0.0,Weak
9,39,Computer Networks,3,Intermediate,38.0,2,6,33.33,54.68,6,0,0.0,Critical
9,35,Computer Systems Basics,3,Beginner,27.47,0,6,0.0,34.6,5,1,2.46,Critical
9,42,Advanced Data Structures,3,Advanced,37.66,1,6,16.67,32.11,7,0,0.0,Critical
9,41,Algorithm Analysis,3,Advanced,36.24,2,6,33.33,61.58,7,0,0.0,Critical
9,2,Algebraic Expressions,1,Beginner,56.18,3,6,50.0,41.86,7,0,0.0,Weak
9,15,Advanced Probability,1,Advanced,36.01,0,6,0.0,28.25,2,0,0.0,Critical
9,8,Systems of Equations,1,Intermediate,38.76,0,6,0.0,8.8,1,1,9.2,Critical
10,10,Probability,1,Intermediate,72.37,4,6,66.67,41.35,3,0,0.0,Adequate
10,39,Computer Networks,3,Intermediate,64.68,3,6,50.0,20.58,7,1,24.64,Adequate
10,7,Functions,1,Intermediate,66.06,4,6,66.67,46.42,0,1,12.35,Adequate
10,20,Electricity Basics,2,Beginner,50.05,0,6,0.0,35.79,7,0,0.0,Weak
10,22,Work and Power,2,Intermediate,50.36,0,6,0.0,37.21,6,1,0.64,Weak
10,26,Thermodynamics,2,Advanced,37.99,3,6,50.0,43.31,3,0,0.0,Critical
10,38,Database Fundamentals,3,Intermediate,58.26,4,6,66.67,43.9,4,0,0.0,Weak
10,21,Momentum,2,Intermediate,50.9,3,6,50.0,48.02,4,1,7.6,Weak
10,18,Forces,2,Beginner,54.56,3,6,50.0,45.02,7,0,0.0,Weak
11,19,Energy,2,Beginner,36.81,0,6,0.0,47.58,0,0,0.0,Critical
11,1,Number Systems,1,Beginner,18.77,1,6,16.67,72.25,5,0,0.0,Critical
11,35,Computer Systems Basics,3,Beginner,36.82,2,6,33.33,57.63,6,1,20.07,Critical
11,39,Computer Networks,3,Intermediate,17.44,1,6,16.67,55.64,3,0,0.0,Critical
11,12,Derivatives,1,Advanced,15.65,0,6,0.0,71.07,1,1,23.03,Critical
11,18,Forces,2,Beginner,20.12,0,6,0.0,31.88,2,0,0.0,Critical
11,37,Object-Oriented Programming,3,Intermediate,19.48,2,6,33.33,53.76,3,0,0.0,Critical
11,3,Linear Equations,1,Beginner,43.96,1,6,16.67,57.18,4,0,0.0,Weak
11,36,Data Structures,3,Intermediate,30.01,0,6,0.0,38.41,5,0,0.0,Critical
11,20,Electricity Basics,2,Beginner,10.32,0,6,0.0,37.3,7,0,0.0,Critical
11,31,Computational Thinking,3,Beginner,18.11,0,6,0.0,51.2,4,0,0.0,Critical
12,17,Motion,2,Beginner,23.79,1,6,16.67,60.02,3,1,20.09,Critical
12,23,Circular Motion,2,Intermediate,6.65,0,6,0.0,78.69,3,1,12.45,Critical
12,8,Systems of Equations,1,Intermediate,21.67,0,6,0.0,48.22,6,0,0.0,Critical
12,38,Database Fundamentals,3,Intermediate,30.03,1,6,16.67,43.82,1,0,0.0,Critical
12,32,Algorithms,3,Beginner,45.58,2,6,33.33,35.39,4,0,0.0,Weak
12,7,Functions,1,Intermediate,28.85,1,6,16.67,45.27,1,1,17.71,Critical
12,18,Forces,2,Beginner,34.99,1,6,16.67,24.55,7,0,0.0,Critical
12,24,Waves,2,Intermediate,12.51,1,6,16.67,31.42,2,0,0.0,Critical
12,21,Momentum,2,Intermediate,6.66,1,6,16.67,41.86,4,0,0.0,Critical
13,29,Modern Physics,2,Advanced,6.8,0,6,0.0,22.15,1,1,4.3,Critical
13,14,Linear Algebra,1,Advanced,67.42,1,6,16.67,37.84,0,0,0.0,Adequate
13,19,Energy,2,Beginner,24.84,0,6,0.0,55.94,6,1,14.97,Critical
13,3,Linear Equations,1,Beginner,54.56,3,6,50.0,31.43,6,1,14.63,Weak
13,20,Electricity Basics,2,Beginner,63.58,3,6,50.0,25.59,0,1,16.34,Adequate
13,6,Quadratic Equations,1,Intermediate,62.86,2,6,33.33,51.65,3,0,0.0,Adequate
14,22,Work and Power,2,Intermediate,51.29,1,6,16.67,17.01,6,1,12.97,Weak
14,14,Linear Algebra,1,Advanced,37.61,0,6,0.0,55.11,1,0,0.0,Critical
14,2,Algebraic Expressions,1,Beginner,53.54,2,6,33.33,27.04,5,0,0.0,Weak
14,31,Computational Thinking,3,Beginner,38.75,2,6,33.33,22.48,4,0,0.0,Critical
14,16,Measurement and Units,2,Beginner,47.28,4,6,66.67,48.51,0,0,0.0,Weak
14,10,Probability,1,Intermediate,54.62,4,6,66.67,43.92,0,1,11.35,Weak
14,41,Algorithm Analysis,3,Advanced,22.67,1,6,16.67,18.51,4,0,0.0,Critical
14,30,Quantum Physics Basics,2,Advanced,47.28,3,6,50.0,27.68,2,0,0.0,Weak
14,1,Number Systems,1,Beginner,47.25,4,6,66.67,21.83,1,1,4.42,Weak
14,24,Waves,2,Intermediate,58.85,2,6,33.33,34.81,3,0,0.0,Weak
14,26,Thermodynamics,2,Advanced,43.42,1,6,16.67,36.64,5,1,21.24,Weak
15,21,Momentum,2,Intermediate,79.56,4,6,66.67,46.03,2,0,0.0,Adequate
15,26,Thermodynamics,2,Advanced,66.29,4,6,66.67,38.0,3,0,0.0,Adequate
15,6,Quadratic Equations,1,Intermediate,64.47,4,6,66.67,37.74,1,1,31.33,Adequate
15,33,Programming Fundamentals,3,Beginner,60.59,4,6,66.67,25.46,5,0,0.0,Adequate
15,32,Algorithms,3,Beginner,66.02,2,6,33.33,61.71,0,1,22.1,Adequate
15,23,Circular Motion,2,Intermediate,84.63,4,6,66.67,19.96,1,0,0.0,Strong
15,41,Algorithm Analysis,3,Advanced,48.75,2,6,33.33,25.66,7,1,26.87,Weak
15,8,Systems of Equations,1,Intermediate,43.63,2,6,33.33,43.05,1,1,33.32,Weak
15,25,Electric Circuits,2,Intermediate,79.74,5,6,83.33,18.59,0,0,0.0,Adequate
15,31,Computational Thinking,3,Beginner,67.76,5,6,83.33,39.54,2,0,0.0,Adequate
15,10,Probability,1,Intermediate,42.49,1,6,16.67,33.06,6,0,0.0,Weak
15,30,Quantum Physics Basics,2,Advanced,71.76,6,6,100.0,28.25,2,1,27.86,Adequate
15,14,Linear Algebra,1,Advanced,28.76,2,6,33.33,33.99,1,0,0.0,Critical
16,4,Ratios and Proportions,1,Beginner,48.45,4,6,66.67,44.79,6,0,0.0,Weak
16,12,Derivatives,1,Advanced,25.95,0,6,0.0,41.23,3,1,6.88,Critical
16,29,Modern Physics,2,Advanced,65.27,2,6,33.33,41.9,4,0,0.0,Adequate
16,2,Algebraic Expressions,1,Beginner,50.97,2,6,33.33,50.15,1,1,12.09,Weak
16,6,Quadratic Equations,1,Intermediate,36.57,2,6,33.33,47.04,3,1,3.52,Critical
17,43,Artificial Intelligence Fundamentals,3,Advanced,46.59,4,6,66.67,23.23,7,1,17.21,Weak
17,26,Thermodynamics,2,Advanced,29.48,0,6,0.0,42.48,2,0,0.0,Critical
17,2,Algebraic Expressions,1,Beginner,68.94,4,6,66.67,24.83,7,1,15.91,Adequate
17,10,Probability,1,Intermediate,61.13,0,6,0.0,38.03,0,1,33.31,Adequate
17,6,Quadratic Equations,1,Intermediate,67.97,4,6,66.67,34.14,4,1,13.38,Adequate
17,29,Modern Physics,2,Advanced,52.05,4,6,66.67,34.57,7,0,0.0,Weak
17,19,Energy,2,Beginner,63.55,5,6,83.33,41.83,5,0,0.0,Adequate
17,32,Algorithms,3,Beginner,71.65,5,6,83.33,29.76,6,1,20.87,Adequate
17,3,Linear Equations,1,Beginner,78.81,5,6,83.33,35.38,0,0,0.0,Adequate
18,43,Artificial Intelligence Fundamentals,3,Advanced,34.36,0,6,0.0,42.65,2,1,11.74,Critical
18,34,Data Representation,3,Beginner,26.14,2,6,33.33,27.26,3,1,2.35,Critical
18,23,Circular Motion,2,Intermediate,32.66,2,6,33.33,21.24,4,0,0.0,Critical
18,39,Computer Networks,3,Intermediate,24.86,2,6,33.33,48.26,0,0,0.0,Critical
18,28,Optics,2,Advanced,9.51,0,6,0.0,51.66,7,1,11.57,Critical
18,21,Momentum,2,Intermediate,27.54,2,6,33.33,16.62,3,1,-2.98,Critical
18,1,Number Systems,1,Beginner,26.97,0,6,0.0,26.59,1,0,0.0,Critical
18,35,Computer Systems Basics,3,Beginner,28.28,3,6,50.0,43.69,5,0,0.0,Critical
18,27,Electromagnetism,2,Advanced,28.04,0,6,0.0,26.12,0,0,0.0,Critical
18,4,Ratios and Proportions,1,Beginner,4.89,0,6,0.0,36.95,2,1,7.55,Critical
18,25,Electric Circuits,2,Intermediate,6.01,0,6,0.0,38.97,3,1,-9.56,Critical
18,22,Work and Power,2,Intermediate,38.03,1,6,16.67,49.21,4,1,1.58,Critical
18,3,Linear Equations,1,Beginner,31.23,2,6,33.33,55.12,3,1,-0.61,Critical
18,11,Limits,1,Advanced,9.4,0,6,0.0,30.78,6,0,0.0,Critical
18,31,Computational Thinking,3,Beginner,32.15,2,6,33.33,40.36,3,0,0.0,Critical
19,19,Energy,2,Beginner,84.2,5,6,83.33,26.78,3,0,0.0,Strong
19,1,Number Systems,1,Beginner,86.68,5,6,83.33,44.22,2,1,32.67,Strong
19,16,Measurement and Units,2,Beginner,85.64,5,6,83.33,30.77,3,0,0.0,Strong
19,13,Integrals,1,Advanced,55.06,6,6,100.0,47.13,0,0,0.0,Weak
19,21,Momentum,2,Intermediate,74.02,4,6,66.67,39.12,3,0,0.0,Adequate
19,23,Circular Motion,2,Intermediate,74.28,4,6,66.67,13.21,2,0,0.0,Adequate
20,37,Object-Oriented Programming,3,Intermediate,40.32,1,6,16.67,42.63,6,0,0.0,Weak
20,10,Probability,1,Intermediate,74.38,3,6,50.0,15.95,4,1,32.87,Adequate
20,5,Basic Geometry,1,Beginner,76.57,4,6,66.67,18.9,0,0,0.0,Adequate
20,27,Electromagnetism,2,Advanced,46.67,0,6,0.0,30.7,5,0,0.0,Weak
20,25,Electric Circuits,2,Intermediate,62.31,3,6,50.0,27.08,6,1,21.62,Adequate
20,12,Derivatives,1,Advanced,74.93,4,6,66.67,27.29,4,0,0.0,Adequate
20,20,Electricity Basics,2,Beginner,78.45,5,6,83.33,54.36,5,1,21.41,Adequate
20,14,Linear Algebra,1,Advanced,55.94,3,6,50.0,21.77,6,1,18.38,Weak
20,13,Integrals,1,Advanced,56.87,4,6,66.67,43.31,6,0,0.0,Weak
20,42,Advanced Data Structures,3,Advanced,27.2,1,6,16.67,40.61,6,1,31.87,Critical
20,26,Thermodynamics,2,Advanced,31.32,1,6,16.67,40.67,3,0,0.0,Critical
20,3,Linear Equations,1,Beginner,73.98,3,6,50.0,5.0,2,0,0.0,Adequate
20,23,Circular Motion,2,Intermediate,67.15,4,6,66.67,51.39,1,1,22.99,Adequate
20,4,Ratios and Proportions,1,Beginner,76.9,4,6,66.67,23.75,3,0,0.0,Adequate
21,9,Trigonometry,1,Intermediate,65.82,3,6,50.0,26.27,7,0,0.0,Adequate
21,43,Artificial Intelligence Fundamentals,3,Advanced,85.89,5,6,83.33,66.22,4,0,0.0,Strong
21,7,Functions,1,Intermediate,62.45,4,6,66.67,34.73,0,1,22.45,Adequate
21,1,Number Systems,1,Beginner,68.42,2,6,33.33,41.33,5,1,21.91,Adequate
21,28,Optics,2,Advanced,42.2,2,6,33.33,37.94,4,1,22.5,Weak
21,2,Algebraic Expressions,1,Beginner,62.28,5,6,83.33,43.64,3,1,29.45,Adequate
21,25,Electric Circuits,2,Intermediate,54.64,2,6,33.33,23.62,4,0,0.0,Weak
21,37,Object-Oriented Programming,3,Intermediate,85.04,4,6,66.67,32.59,2,1,32.92,Strong
21,31,Computational Thinking,3,Beginner,78.83,6,6,100.0,51.02,7,1,20.49,Adequate
21,34,Data Representation,3,Beginner,99.24,6,6,100.0,71.32,2,0,0.0,Strong
21,45,Computer Architecture,3,Advanced,77.73,5,6,83.33,36.01,5,0,0.0,Adequate
21,38,Database Fundamentals,3,Intermediate,67.86,4,6,66.67,34.58,7,0,0.0,Adequate
21,19,Energy,2,Beginner,58.96,5,6,83.33,26.64,1,0,0.0,Weak
22,27,Electromagnetism,2,Advanced,37.96,2,6,33.33,56.06,7,0,0.0,Critical
22,43,Artificial Intelligence Fundamentals,3,Advanced,4.75,0,6,0.0,24.08,4,1,5.43,Critical
22,26,Thermodynamics,2,Advanced,30.36,1,6,16.67,50.35,7,0,0.0,Critical
22,31,Computational Thinking,3,Beginner,28.43,1,6,16.67,46.64,5,1,24.24,Critical
22,28,Optics,2,Advanced,18.02,1,6,16.67,69.66,7,1,8.21,Critical
22,40,Operating Systems Basics,3,Intermediate,23.97,0,6,0.0,37.96,0,1,7.92,Critical
22,10,Probability,1,Intermediate,38.7,2,6,33.33,47.94,1,0,0.0,Critical
22,30,Quantum Physics Basics,2,Advanced,41.04,2,6,33.33,41.27,4,0,0.0,Weak
22,8,Systems of Equations,1,Intermediate,42.43,1,6,16.67,54.15,1,0,0.0,Weak
23,4,Ratios and Proportions,1,Beginner,40.64,1,6,16.67,40.66,1,1,13.52,Weak
23,28,Optics,2,Advanced,59.23,4,6,66.67,45.27,6,0,0.0,Weak
23,14,Linear Algebra,1,Advanced,35.69,1,6,16.67,30.93,2,1,29.62,Critical
23,17,Motion,2,Beginner,81.06,4,6,66.67,28.85,2,0,0.0,Strong
23,12,Derivatives,1,Advanced,18.89,1,6,16.67,33.4,6,1,22.03,Critical
23,11,Limits,1,Advanced,24.56,1,6,16.67,31.01,1,1,34.8,Critical
24,21,Momentum,2,Intermediate,71.71,4,6,66.67,45.84,6,1,9.12,Adequate
24,2,Algebraic Expressions,1,Beginner,69.33,2,6,33.33,30.1,1,1,17.31,Adequate
24,35,Computer Systems Basics,3,Beginner,77.5,5,6,83.33,32.81,0,1,13.87,Adequate
24,8,Systems of Equations,1,Intermediate,67.09,3,6,50.0,28.27,1,0,0.0,Adequate
24,33,Programming Fundamentals,3,Beginner,50.44,4,6,66.67,27.07,0,0,0.0,Weak
24,3,Linear Equations,1,Beginner,51.15,1,6,16.67,47.94,3,0,0.0,Weak
25,40,Operating Systems Basics,3,Intermediate,14.65,1,6,16.67,48.33,5,1,5.65,Critical
25,14,Linear Algebra,1,Advanced,6.36,0,6,0.0,71.29,1,0,0.0,Critical
25,7,Functions,1,Intermediate,5.99,1,6,16.67,28.91,3,1,-1.58,Critical
25,39,Computer Networks,3,Intermediate,28.37,1,6,16.67,55.39,1,1,3.22,Critical
25,15,Advanced Probability,1,Advanced,10.25,0,6,0.0,58.28,5,0,0.0,Critical
25,31,Computational Thinking,3,Beginner,24.07,1,6,16.67,45.77,6,0,0.0,Critical
25,43,Artificial Intelligence Fundamentals,3,Advanced,21.45,2,6,33.33,40.57,2,1,7.02,Critical
26,14,Linear Algebra,1,Advanced,4.4,1,6,16.67,72.1,2,1,49.59,Critical
26,15,Advanced Probability,1,Advanced,6.31,0,6,0.0,49.01,7,0,0.0,Critical
26,31,Computational Thinking,3,Beginner,18.56,1,6,16.67,56.7,4,0,0.0,Critical
26,13,Integrals,1,Advanced,5.99,0,6,0.0,48.03,6,0,0.0,Critical
26,29,Modern Physics,2,Advanced,17.71,1,6,16.67,29.74,2,0,0.0,Critical
26,26,Thermodynamics,2,Advanced,21.21,1,6,16.67,14.91,5,1,34.96,Critical
27,34,Data Representation,3,Beginner,46.16,2,6,33.33,46.81,5,0,0.0,Weak
27,38,Database Fundamentals,3,Intermediate,29.5,0,6,0.0,30.85,6,0,0.0,Critical
27,2,Algebraic Expressions,1,Beginner,29.97,0,6,0.0,50.21,1,0,0.0,Critical
27,26,Thermodynamics,2,Advanced,48.17,2,6,33.33,37.4,5,0,0.0,Weak
27,36,Data Structures,3,Intermediate,43.12,1,6,16.67,29.95,5,0,0.0,Weak
27,13,Integrals,1,Advanced,32.02,0,6,0.0,26.34,3,1,12.63,Critical
27,30,Quantum Physics Basics,2,Advanced,34.74,2,6,33.33,37.75,3,0,0.0,Critical
28,7,Functions,1,Intermediate,4.24,0,6,0.0,63.16,3,0,0.0,Critical
28,24,Waves,2,Intermediate,40.32,2,6,33.33,50.34,1,1,28.62,Weak
28,41,Algorithm Analysis,3,Advanced,16.1,0,6,0.0,67.22,6,0,0.0,Critical
28,15,Advanced Probability,1,Advanced,13.8,1,6,16.67,45.9,2,0,0.0,Critical
28,18,Forces,2,Beginner,36.07,3,6,50.0,36.39,7,1,23.67,Critical
28,11,Limits,1,Advanced,0.0,0,6,0.0,31.41,4,1,27.49,Critical
28,39,Computer Networks,3,Intermediate,14.13,0,6,0.0,60.03,4,0,0.0,Critical
28,8,Systems of Equations,1,Intermediate,14.74,1,6,16.67,52.36,0,1,26.33,Critical
28,12,Derivatives,1,Advanced,0.0,0,6,0.0,57.65,6,1,26.87,Critical
28,5,Basic Geometry,1,Beginner,25.31,1,6,16.67,55.18,2,1,20.1,Critical
28,45,Computer Architecture,3,Advanced,27.54,0,6,0.0,69.05,1,1,17.58,Critical
28,19,Energy,2,Beginner,49.59,3,6,50.0,64.94,2,1,7.41,Weak
28,43,Artificial Intelligence Fundamentals,3,Advanced,27.13,2,6,33.33,49.03,3,1,27.48,Critical
28,17,Motion,2,Beginner,37.05,1,6,16.67,46.67,7,0,0.0,Critical
29,8,Systems of Equations,1,Intermediate,89.69,5,6,83.33,37.12,1,0,0.0,Strong
29,25,Electric Circuits,2,Intermediate,64.41,5,6,83.33,10.15,3,1,14.22,Adequate
29,19,Energy,2,Beginner,85.65,4,6,66.67,36.55,2,0,0.0,Strong
29,9,Trigonometry,1,Intermediate,100.0,5,6,83.33,23.86,3,0,0.0,Strong
29,26,Thermodynamics,2,Advanced,52.71,5,6,83.33,31.2,1,0,0.0,Weak
29,37,Object-Oriented Programming,3,Intermediate,58.73,5,6,83.33,42.57,2,1,24.84,Weak
29,28,Optics,2,Advanced,70.69,5,6,83.33,36.72,0,0,0.0,Adequate
29,36,Data Structures,3,Intermediate,58.63,1,6,16.67,25.26,2,1,16.54,Weak
29,21,Momentum,2,Intermediate,66.35,5,6,83.33,29.95,2,0,0.0,Adequate
29,4,Ratios and Proportions,1,Beginner,97.18,5,6,83.33,38.1,4,1,28.67,Strong
29,42,Advanced Data Structures,3,Advanced,56.41,2,6,33.33,28.06,1,0,0.0,Weak
29,45,Computer Architecture,3,Advanced,57.14,3,6,50.0,37.84,1,1,33.41,Weak
29,29,Modern Physics,2,Advanced,75.86,4,6,66.67,28.84,2,0,0.0,Adequate
29,41,Algorithm Analysis,3,Advanced,38.56,2,6,33.33,30.69,5,0,0.0,Critical
