content_id,subject_id,concept_id,concept_name,difficulty,question_type,question_id,question_text,option_a,option_b,option_c,option_d,correct_answer
CONTENT_3,1,3,Linear Equations,Beginner,Understanding,S1_C3_Understanding,Which equation is linear in one variable?,x² + 2 = 6,2x + 3 = 7,1/x = 4,x³ = 8,B
CONTENT_3,1,3,Linear Equations,Beginner,Application,S1_C3_Application,Solve the equation x + 7 = 12.,x = 3,x = 4,x = 5,x = 19,C
CONTENT_3,1,3,Linear Equations,Beginner,Reasoning,S1_C3_Reasoning,"If 3x = 18, which operation isolates x?",Add 3 to both sides.,Subtract 3 from both sides.,Multiply both sides by 3.,Divide both sides by 3.,D
CONTENT_3,1,3,Linear Equations,Beginner,Problem Solving,S1_C3_Problem_Solving,"A taxi charges a fixed fee of 5 dollars plus 2 dollars per kilometer. If the total fare is 17 dollars, how many kilometers were traveled?",5 km,6 km,8 km,11 km,B
CONTENT_3,1,3,Linear Equations,Beginner,Misconception Detection,S1_C3_Misconception_Detection,A student solves 2x + 4 = 10 by subtracting 4 from the left side only. Why is this invalid?,Because subtraction is never allowed in equations.,Because the same operation must be applied to both sides to preserve equality.,Because x cannot appear in a linear equation.,Because 10 is not a valid constant.,B
CONTENT_3,1,3,Linear Equations,Beginner,Transfer,S1_C3_Transfer,A number increased by 9 is equal to 20. Which equation represents this situation?,x - 9 = 20,9x = 20,x + 9 = 20,x + 20 = 9,C
CONTENT_4,1,4,Ratios and Proportions,Beginner,Understanding,S1_C4_Understanding,What does the ratio 2:3 mean?,There are 2 parts for every 3 corresponding parts.,The two quantities must both equal 3.,The difference between the quantities is always 3.,The total of the quantities must be 2.,A
CONTENT_4,1,4,Ratios and Proportions,Beginner,Application,S1_C4_Application,"The ratio of red balls to blue balls is 2:5. If there are 4 red balls, how many blue balls are there?",7,8,10,12,C
CONTENT_4,1,4,Ratios and Proportions,Beginner,Reasoning,S1_C4_Reasoning,Which ratio is equivalent to 3:4?,6:8,6:7,9:16,12:9,A
CONTENT_4,1,4,Ratios and Proportions,Beginner,Problem Solving,S1_C4_Problem_Solving,A recipe uses 3 cups of flour for every 2 cups of milk. How many cups of flour are needed for 6 cups of milk?,6 cups,8 cups,9 cups,12 cups,C
CONTENT_4,1,4,Ratios and Proportions,Beginner,Misconception Detection,S1_C4_Misconception_Detection,A student says that 2:3 and 2:6 are equivalent ratios because both begin with 2. What is wrong with the student's claim?,Equivalent ratios require the corresponding terms to be multiplied or divided by the same nonzero factor.,Ratios can only contain numbers greater than 5.,The first number in a ratio must always be larger.,Equivalent ratios must have identical second terms.,A
CONTENT_4,1,4,Ratios and Proportions,Beginner,Transfer,S1_C4_Transfer,"On a map, 1 centimeter represents 5 kilometers. Two cities are 4 centimeters apart on the map. What is their actual distance?",9 km,15 km,20 km,25 km,C
CONTENT_5,1,5,Basic Geometry,Beginner,Understanding,S1_C5_Understanding,How many degrees are in the interior angles of a triangle altogether?,90°,180°,270°,360°,B
CONTENT_5,1,5,Basic Geometry,Beginner,Application,S1_C5_Application,A rectangle has a length of 8 cm and a width of 3 cm. What is its area?,11 cm²,22 cm²,24 cm²,48 cm²,C
CONTENT_5,1,5,Basic Geometry,Beginner,Reasoning,S1_C5_Reasoning,A triangle has angles of 50° and 60°. What is the measure of its third angle?,60°,70°,80°,90°,B
CONTENT_5,1,5,Basic Geometry,Beginner,Problem Solving,S1_C5_Problem_Solving,A square has a side length of 6 cm. What is its perimeter?,12 cm,18 cm,24 cm,36 cm,C
CONTENT_5,1,5,Basic Geometry,Beginner,Misconception Detection,S1_C5_Misconception_Detection,A student says that the area of a rectangle with length 5 cm and width 4 cm is 18 cm² because 5 + 4 = 9 and then 9 × 2 = 18. What is the correct evaluation?,The student is correct because rectangle area is found by adding all sides.,The student is incorrect because the area is 5 × 4 = 20 cm².,The student is incorrect because the area is 5 + 4 = 9 cm².,The student is correct because perimeter and area are calculated the same way.,B
CONTENT_5,1,5,Basic Geometry,Beginner,Transfer,S1_C5_Transfer,A rectangular garden is 10 meters long and 4 meters wide. A path is built around its boundary. What measurement describes the total distance around the garden?,Area,Volume,Perimeter,Diagonal,C
CONTENT_6,1,6,Quadratic Equations,Intermediate,Understanding,S1_C6_Understanding,Which statement correctly describes the solutions of a quadratic equation such as x² - 5x + 6 = 0?,It can have at most one real solution.,It can have two real solutions.,It must have exactly three real solutions.,It can never have real solutions.,B
CONTENT_6,1,6,Quadratic Equations,Intermediate,Application,S1_C6_Application,Solve x² - 5x + 6 = 0.,x = 1 or x = 6,x = 2 or x = 3,x = -2 or x = -3,x = 5 or x = 6,B
CONTENT_6,1,6,Quadratic Equations,Intermediate,Reasoning,S1_C6_Reasoning,"For x² - 7x + 12 = 0, which factorization correctly represents the equation?",(x - 2)(x - 6) = 0,(x + 2)(x + 6) = 0,(x - 3)(x - 4) = 0,(x + 3)(x + 4) = 0,C
CONTENT_6,1,6,Quadratic Equations,Intermediate,Problem Solving,S1_C6_Problem_Solving,"A rectangular garden has an area of 48 m². Its length is 2 meters greater than its width. If the width is x meters, which equation represents the situation?",x(x + 2) = 48,2x + 2 = 48,x + (x + 2) = 48,x(x - 2) = 48,A
CONTENT_6,1,6,Quadratic Equations,Intermediate,Misconception Detection,S1_C6_Misconception_Detection,A student factors x² - 9 as (x - 9)(x + 9). What is the error?,The difference of squares is x² - 9 = (x - 3)(x + 3).,The difference of squares is x² - 9 = (x - 9)².,The expression cannot be factored.,The expression equals (x + 3)².,A
CONTENT_6,1,6,Quadratic Equations,Intermediate,Transfer,S1_C6_Transfer,"The height of an object is modeled by h(t) = -t² + 6t, where t is time in seconds. At what times is the object at ground level, assuming ground level means h(t) = 0?",t = 0 and t = 6,t = 1 and t = 5,t = 2 and t = 4,t = 3 and t = 6,A
CONTENT_7,1,7,Functions,Intermediate,Understanding,S1_C7_Understanding,Which condition must be true for a relation to represent a function?,Each input is paired with exactly one output.,Each output is paired with exactly one input.,Every input must equal its output.,Every function must have two outputs for each input.,A
CONTENT_7,1,7,Functions,Intermediate,Application,S1_C7_Application,"For f(x) = x² - 2x + 3, what is f(4)?",7,9,11,13,C
CONTENT_7,1,7,Functions,Intermediate,Reasoning,S1_C7_Reasoning,"If f(x) = 3x - 2 and f(x) = 13, what is x?",3,4,5,6,C
CONTENT_7,1,7,Functions,Intermediate,Problem Solving,S1_C7_Problem_Solving,"A school charges a registration fee of 20 dollars plus 5 dollars for each workshop attended. If a student attends x workshops, which function gives the total cost?",C(x) = 20x + 5,C(x) = 5x + 20,C(x) = 25x,C(x) = 20 + 5,B
CONTENT_7,1,7,Functions,Intermediate,Misconception Detection,S1_C7_Misconception_Detection,A student claims that f(x) = x² is not a function because both 2 and -2 produce the output 4. What is the correct evaluation?,The claim is correct because every output must have one input.,The claim is incorrect because different inputs may have the same output.,The claim is correct because x² has no outputs.,The claim is incorrect only when x is positive.,B
CONTENT_7,1,7,Functions,Intermediate,Transfer,S1_C7_Transfer,A temperature converter is represented by C(F) = (5/9)(F - 32). What Celsius temperature corresponds to 68°F?,10°C,15°C,20°C,25°C,C
CONTENT_8,1,8,Systems of Equations,Intermediate,Understanding,S1_C8_Understanding,What does it mean for an ordered pair to be a solution of a system of two equations?,It satisfies only the first equation.,It satisfies only the second equation.,It satisfies both equations simultaneously.,It has equal x and y values.,C
CONTENT_8,1,8,Systems of Equations,Intermediate,Application,S1_C8_Application,Solve the system x + y = 9 and x - y = 3.,"(3, 6)","(6, 3)","(4, 5)","(5, 4)",B
CONTENT_8,1,8,Systems of Equations,Intermediate,Reasoning,S1_C8_Reasoning,"For the system 2x + y = 8 and x + y = 5, which value of x is obtained by subtracting the second equation from the first?",2,3,4,5,B
CONTENT_8,1,8,Systems of Equations,Intermediate,Problem Solving,S1_C8_Problem_Solving,"At a school event, 30 tickets were sold. Adult tickets cost 8 dollars and student tickets cost 5 dollars. The total revenue was 210 dollars. If x is the number of adult tickets and y is the number of student tickets, which system represents the situation?",x + y = 30 and 8x + 5y = 210,x - y = 30 and 8x - 5y = 210,8x + 5y = 30 and x + y = 210,x + y = 210 and 8x + 5y = 30,A
CONTENT_8,1,8,Systems of Equations,Intermediate,Misconception Detection,S1_C8_Misconception_Detection,A student finds x = 4 from one equation in a system and says the solution is x = 4 without finding y. Why is this incomplete?,A system solution normally requires the values of all variables that satisfy every equation.,The value of x can never be part of a system.,Systems of equations contain no variables.,The student must always find three variables.,A
CONTENT_8,1,8,Systems of Equations,Intermediate,Transfer,S1_C8_Transfer,Two numbers have a sum of 18 and a difference of 4. Which system can be used to find the two numbers x and y?,x + y = 18 and x - y = 4,x - y = 18 and x + y = 4,xy = 18 and x - y = 4,x + y = 4 and xy = 18,A
CONTENT_9,1,9,Trigonometry,Intermediate,Understanding,S1_C9_Understanding,"In a right triangle, which ratio represents cosine of an angle θ?",Opposite ÷ Hypotenuse,Adjacent ÷ Hypotenuse,Opposite ÷ Adjacent,Hypotenuse ÷ Adjacent,B
CONTENT_9,1,9,Trigonometry,Intermediate,Application,S1_C9_Application,"In a right triangle, the adjacent side to θ is 8 cm and the hypotenuse is 10 cm. What is cos(θ)?",0.6,0.7,0.8,0.9,C
CONTENT_9,1,9,Trigonometry,Intermediate,Reasoning,S1_C9_Reasoning,A right triangle has opposite side 5 and adjacent side 12 relative to θ. What is tan(θ)?,5/12,12/5,5/13,12/13,A
CONTENT_9,1,9,Trigonometry,Intermediate,Problem Solving,S1_C9_Problem_Solving,"A ramp is 10 m long and rises 6 m vertically. If θ is the angle between the ramp and the horizontal ground, which trigonometric ratio can be used directly to find θ?",sin(θ) = 6/10,cos(θ) = 6/10,tan(θ) = 10/6,cos(θ) = 10/6,A
CONTENT_9,1,9,Trigonometry,Intermediate,Misconception Detection,S1_C9_Misconception_Detection,A student calculates tan(θ) as adjacent ÷ opposite. What is the correct evaluation?,That ratio is tangent and is always correct.,"Tangent is opposite ÷ adjacent, so the student's ratio is reversed.",Tangent is hypotenuse ÷ opposite.,Tangent cannot be used in a right triangle.,B
CONTENT_9,1,9,Trigonometry,Intermediate,Transfer,S1_C9_Transfer,"A support cable forms a right triangle with a vertical pole and horizontal ground. Relative to the angle at the ground, the vertical pole is the opposite side and the cable is the hypotenuse. Which ratio relates the pole height to the cable length?",Sine,Cosine,Tangent,None of these,A
CONTENT_10,1,10,Probability,Intermediate,Understanding,S1_C10_Understanding,"For equally likely outcomes, which expression gives the probability of an event?",Favorable outcomes ÷ Total possible outcomes,Total possible outcomes ÷ Favorable outcomes,Favorable outcomes + Total possible outcomes,Total possible outcomes - Favorable outcomes,A
CONTENT_10,1,10,Probability,Intermediate,Application,S1_C10_Application,A fair six-sided die is rolled once. What is the probability of rolling a number greater than 4?,1/6,1/3,1/2,2/3,B
CONTENT_10,1,10,Probability,Intermediate,Reasoning,S1_C10_Reasoning,"A bag contains 4 red, 3 blue, and 3 green balls. One ball is selected at random. What is the probability of selecting a ball that is not red?",2/5,3/5,1/2,7/10,B
CONTENT_10,1,10,Probability,Intermediate,Problem Solving,S1_C10_Problem_Solving,A box contains 5 white cards and 3 black cards. Two cards are drawn without replacement. What is the probability that both cards are white?,5/14,5/8,25/64,10/21,A
CONTENT_10,1,10,Probability,Intermediate,Misconception Detection,S1_C10_Misconception_Detection,"A student says that if an event has probability 0.7, its complement must also have probability 0.7. What is the error?",The probability of an event and its complement must add to 1.,The probability of every complement is always 0.,The probability of a complement must be greater than 1.,An event and its complement always have equal probability.,A
CONTENT_10,1,10,Probability,Intermediate,Transfer,S1_C10_Transfer,"A weather model estimates a 30% chance of rain tomorrow. What is the probability that it will not rain, assuming rain and no rain are complementary outcomes?",30%,50%,70%,100%,C
CONTENT_11,1,11,Limits,Advanced,Understanding,S1_C11_Understanding,"If lim(x→2) f(x) = 5, which statement must be true about the values of f(x) when x is sufficiently close to 2, even if f(2) itself is undefined?",f(x) is exactly equal to 5 for every x near 2.,f(x) can be made arbitrarily close to 5 by taking x sufficiently close to 2.,f(2) must equal 5.,f(x) must be defined at x = 2.,B
CONTENT_11,1,11,Limits,Advanced,Application,S1_C11_Application,Evaluate lim(x→0) [sin(3x)]/x.,0,1,3,Does not exist,C
CONTENT_11,1,11,Limits,Advanced,Reasoning,S1_C11_Reasoning,Suppose lim(x→2) f(x) = 5 and lim(x→2) g(x) = -3. What is lim(x→2) [2f(x) - g(x)]?,7,10,13,-13,C
CONTENT_11,1,11,Limits,Advanced,Problem Solving,S1_C11_Problem_Solving,"For f(x) = (x² - 16)/(x - 4), x ≠ 4, what value should be assigned at x = 4 to make f continuous?",4,6,8,16,C
CONTENT_11,1,11,Limits,Advanced,Misconception Detection,S1_C11_Misconception_Detection,"A student says that if f(5) is undefined, then lim(x→5) f(x) must also be undefined. What is the correct evaluation?",The claim is always correct because a limit requires f(5),"The claim is incorrect because a limit depends on nearby values, not necessarily f(5)",The claim is correct because limits only exist at defined points,The claim is incorrect only for polynomial functions,B
CONTENT_11,1,11,Limits,Advanced,Transfer,S1_C11_Transfer,"A temperature model is defined by h(t) = (t² - 9)/(t - 3), t ≠ 3. The model has a removable discontinuity at t = 3. What value should be assigned to h(3) to remove the discontinuity?",0,3,6,9,C
CONTENT_12,1,12,Derivatives,Advanced,Understanding,S1_C12_Understanding,"For a differentiable function f, if f′(a)=0 and f″(a)>0, which conclusion follows from the second derivative test?",The function has a local minimum at x=a.,The function has a local maximum at x=a.,The function has an inflection point at x=a.,The function is decreasing on an interval around x=a.,A
CONTENT_12,1,12,Derivatives,Advanced,Application,S1_C12_Application,"If f(x) = x³ - 4x² + 2x, what is f′(2)?",-2,0,2,6,A
CONTENT_12,1,12,Derivatives,Advanced,Reasoning,S1_C12_Reasoning,"For the function f(x)=−x³+3x², which conclusion follows from the fact that f′(2)=0 and f″(2)<0?",The function has a local maximum at x=2.,The function has a local minimum at x=2.,The function is increasing at x=2.,The function has an inflection point at x=2.,A
CONTENT_12,1,12,Derivatives,Advanced,Problem Solving,S1_C12_Problem_Solving,A particle has position s(t) = t³ - 6t² + 9t. At which times is its velocity zero?,t = 1 and t = 3,t = 0 and t = 3,t = 1 only,t = 3 only,A
CONTENT_12,1,12,Derivatives,Advanced,Misconception Detection,S1_C12_Misconception_Detection,A student claims that the derivative of f(x)=x²sin(x) is f′(x)=2xsin(x). Which reasoning correctly identifies the student's mistake?,The student differentiated only the first factor and ignored the derivative of the second factor.,The student used the quotient rule instead of the product rule.,The student differentiated sin(x) as cos(x) but forgot to differentiate x².,The student should have used the power rule on the entire expression before differentiating.,A
CONTENT_12,1,12,Derivatives,Advanced,Transfer,S1_C12_Transfer,A company's cost is C(x) = x² + 20x + 100. What does C′(30) represent?,The total cost of producing 30 units,The average cost per unit at 30 units,The instantaneous rate at which cost changes when production is 30 units,The fixed cost of the company,C
CONTENT_13,1,13,Integrals,Advanced,Understanding,S1_C13_Understanding,"If F is an antiderivative of f on [a,b], which statement correctly explains the relationship between F and the definite integral of f?",The definite integral of f from a to b equals the net change in F from a to b.,The definite integral of f from a to b always equals F(a)+F(b).,The definite integral of f from a to b depends only on the value of f at the endpoints.,The definite integral of f from a to b is equal to the derivative of F at b.,A
CONTENT_13,1,13,Integrals,Advanced,Application,S1_C13_Application,Evaluate ∫₀² 3x² dx.,4,6,8,12,C
CONTENT_13,1,13,Integrals,Advanced,Reasoning,S1_C13_Reasoning,"If F′(x) = f(x), which expression gives ∫ₐᵇ f(x) dx?",F(a) + F(b),F(b) - F(a),F′(b) - F′(a),F(b) ÷ F(a),B
CONTENT_13,1,13,Integrals,Advanced,Problem Solving,S1_C13_Problem_Solving,A particle has velocity v(t) = 2t + 3. What is its displacement from t = 0 to t = 4?,20,24,28,32,C
CONTENT_13,1,13,Integrals,Advanced,Misconception Detection,S1_C13_Misconception_Detection,A student claims that ∫₀² [f(x)+g(x)] dx = (∫₀² f(x) dx)(∫₀² g(x) dx). Which statement correctly identifies the student's misconception?,"The student treated the integral of a sum as a product of integrals, but integration is linear over addition.",The student forgot that definite integrals can only be used when both functions are positive.,The student should differentiate f(x) and g(x) before integrating their sum.,The student used the constant multiple rule instead of the substitution rule.,A
CONTENT_13,1,13,Integrals,Advanced,Transfer,S1_C13_Transfer,A tank is filled at a rate r(t) = 5t liters per minute. How much water enters the tank from t = 0 to t = 4 minutes?,20 liters,30 liters,40 liters,50 liters,C
CONTENT_14,1,14,Linear Algebra,Advanced,Understanding,S1_C14_Understanding,"For a square matrix A, if Av=λv for a nonzero vector v, what does λ represent?",Eigenvalue,Determinant,Rank,Trace,A
CONTENT_14,1,14,Linear Algebra,Advanced,Application,S1_C14_Application,"Given A=[[1,2],[0,1]] and B=[[2,1],[1,0]], what is the matrix product AB?","[[2,1],[1,2]]","[[4,1],[1,0]]","[[3,1],[1,1]]","[[2,3],[0,1]]",B
CONTENT_14,1,14,Linear Algebra,Advanced,Reasoning,S1_C14_Reasoning,"Let u = (1, 2) and v = (2, 4). What can be concluded about u and v?",They are linearly independent because they are different vectors,They are linearly dependent because v = 2u,They are orthogonal because their components are proportional,They span a three-dimensional space,B
CONTENT_14,1,14,Linear Algebra,Advanced,Problem Solving,S1_C14_Problem_Solving,Solve the system x + y = 5 and 2x - y = 4. What is the solution?,"(2, 3)","(3, 2)","(4, 1)","(1, 4)",B
CONTENT_14,1,14,Linear Algebra,Advanced,Misconception Detection,S1_C14_Misconception_Detection,A student claims that any two nonzero vectors are automatically linearly independent. What is the correct evaluation?,The claim is incorrect because nonzero vectors can be scalar multiples of each other,The claim is correct because zero is the only cause of dependence,The claim is correct only in two-dimensional spaces,The claim is incorrect only when both vectors have negative components,A
CONTENT_14,1,14,Linear Algebra,Advanced,Transfer,S1_C14_Transfer,Why are matrices useful for representing linear transformations?,They allow linear transformations to be represented and composed through matrix operations,They guarantee that every transformation is nonlinear,They eliminate the need for vectors in every problem,They can represent only transformations that preserve length,A
CONTENT_15,1,15,Advanced Probability,Advanced,Understanding,S1_C15_Understanding,Two events A and B have positive probabilities. Which statement best distinguishes independence from mutual exclusivity?,"Independence means P(A∩B)=P(A)P(B), while mutual exclusivity means P(A∩B)=0.",Independent events must have P(A∩B)=0.,Mutually exclusive events always satisfy P(A∩B)=P(A)P(B).,"If two events are independent, one must cause the other.",A
CONTENT_15,1,15,Advanced Probability,Advanced,Application,S1_C15_Application,"A fair die is rolled twice. Given that the sum of the two rolls is at least 10, what is the probability that both rolls are 6?",1/12,1/9,1/6,1/3,C
CONTENT_15,1,15,Advanced Probability,Advanced,Reasoning,S1_C15_Reasoning,"Events A and B satisfy P(A)=0.7, P(B)=0.5, and P(A ∪ B)=0.9. What can be concluded about their independence?",They are independent because P(A ∪ B) is less than 1,They are independent because both probabilities are greater than 0.5,"They are not independent because P(A ∩ B)=0.3, which differs from P(A)P(B)=0.35",Their independence cannot be determined because the intersection probability is unknown,C
CONTENT_15,1,15,Advanced Probability,Advanced,Problem Solving,S1_C15_Problem_Solving,A box contains 5 red and 7 blue balls. Three balls are drawn without replacement. What is the probability that exactly two of the three balls are red?,7/22,5/22,7/20,5/18,A
CONTENT_15,1,15,Advanced Probability,Advanced,Misconception Detection,S1_C15_Misconception_Detection,"A student argues: If P(A)=0.8 and P(B)=0.7, then P(A ∩ B)=0.56 because the probabilities of any two events can always be multiplied. What is the precise error in the student's reasoning?","The multiplication rule applies only when A and B are independent, or when an appropriate conditional probability is used",The multiplication rule can never be used for intersections,An intersection probability must always be greater than both individual probabilities,The multiplication rule requires P(A) and P(B) to be equal,A
CONTENT_15,1,15,Advanced Probability,Advanced,Transfer,S1_C15_Transfer,"A disease affects 2% of a population. A test has 95% sensitivity and 90% specificity. If a person tests positive, what is the approximate probability that the person actually has the disease?",2%,16.2%,90%,95%,B
CONTENT_16,2,16,Measurement and Units,Beginner,Understanding,S2_C16_Understanding,Which SI unit is used to measure mass?,meter,kilogram,second,ampere,B
CONTENT_16,2,16,Measurement and Units,Beginner,Application,S2_C16_Application,A student measures the length of a table as 1.5 m. What is this length in centimeters?,15 cm,150 cm,1500 cm,0.15 cm,B
CONTENT_16,2,16,Measurement and Units,Beginner,Reasoning,S2_C16_Reasoning,Two students measure the same object. Student A records 20.0 cm and Student B records 20.00 cm. Which statement is most appropriate?,They must have measured different objects.,"Student B reports more decimal places, indicating finer measurement resolution.",Student A’s measurement is always more accurate.,Student B’s measurement must be wrong.,B
CONTENT_16,2,16,Measurement and Units,Beginner,Problem Solving,S2_C16_Problem_Solving,A runner’s time is 2.5 minutes. How many seconds is this?,25 s,60 s,150 s,250 s,C
CONTENT_16,2,16,Measurement and Units,Beginner,Misconception Detection,S2_C16_Misconception_Detection,"A student says: “A measurement of 5.0 cm and a measurement of 5.00 cm mean exactly the same level of precision, because both are equal to 5 cm.” Which statement identifies the mistake?",The student ignored the information conveyed by the decimal places.,5.0 cm is always larger than 5.00 cm.,Centimeters cannot be used for length.,Measurements should never contain decimals.,A
CONTENT_16,2,16,Measurement and Units,Beginner,Transfer,S2_C16_Transfer,A recipe requires 0.75 L of water. A measuring cup is marked in milliliters. What amount should the student measure?,7.5 mL,75 mL,750 mL,7500 mL,C
CONTENT_17,2,17,Motion,Beginner,Understanding,S2_C17_Understanding,Which quantity describes how fast an object changes its position?,Mass,Speed,Temperature,Volume,B
CONTENT_17,2,17,Motion,Beginner,Application,S2_C17_Application,A car travels 120 meters in 10 seconds. What is its average speed?,10 m/s,12 m/s,120 m/s,130 m/s,B
CONTENT_17,2,17,Motion,Beginner,Reasoning,S2_C17_Reasoning,Two cars travel for the same amount of time. Car A travels 100 m and Car B travels 200 m. Which car has the greater average speed?,Car A,Car B,They have the same speed,Cannot be compared,B
CONTENT_17,2,17,Motion,Beginner,Problem Solving,S2_C17_Problem_Solving,A cyclist moves at a constant speed of 5 m/s for 8 seconds. How far does the cyclist travel?,13 m,20 m,40 m,45 m,C
CONTENT_17,2,17,Motion,Beginner,Misconception Detection,S2_C17_Misconception_Detection,"A student says: ""If an object is moving, its speed must always increase."" Which statement identifies the mistake?",An object can move at a constant speed.,Moving objects cannot have a speed.,Speed always decreases when an object moves.,An object can move only if its speed is zero.,A
CONTENT_17,2,17,Motion,Beginner,Transfer,S2_C17_Transfer,A student walks at an average speed of 2 m/s for 30 seconds. How far does the student walk?,15 m,32 m,60 m,90 m,C
CONTENT_18,2,18,Forces,Beginner,Understanding,S2_C18_Understanding,What is a force?,A push or pull that can change an object's motion.,The amount of matter in an object.,The amount of space an object occupies.,The time needed to move an object.,A
CONTENT_18,2,18,Forces,Beginner,Application,S2_C18_Application,A 5 kg object is pushed with a net force of 20 N. What is its acceleration?,2 m/s²,4 m/s²,15 m/s²,25 m/s²,B
CONTENT_18,2,18,Forces,Beginner,Reasoning,S2_C18_Reasoning,Two equal forces act on an object in opposite directions. What is the net force on the object?,Equal to one of the forces,Twice one of the forces,Zero,Greater than both forces,C
CONTENT_18,2,18,Forces,Beginner,Problem Solving,S2_C18_Problem_Solving,A 6 kg box is pulled to the right with a force of 18 N. A friction force of 6 N acts to the left. What is the box's acceleration?,1 m/s²,2 m/s²,3 m/s²,4 m/s²,B
CONTENT_18,2,18,Forces,Beginner,Misconception Detection,S2_C18_Misconception_Detection,"A student says: ""If an object is moving, there must always be a net force acting on it."" Which statement identifies the mistake?",An object can move at constant velocity when the net force is zero.,Moving objects cannot have forces acting on them.,A net force is required for every type of motion.,Objects stop moving whenever the net force is zero.,A
CONTENT_18,2,18,Forces,Beginner,Transfer,S2_C18_Transfer,A shopping cart is pushed with a net force of 10 N and has a mass of 2 kg. What happens to its acceleration if the same net force is applied to a cart with twice the mass?,The acceleration doubles.,The acceleration stays the same.,The acceleration becomes half as large.,The acceleration becomes four times larger.,C
CONTENT_19,2,19,Energy,Beginner,Understanding,S2_C19_Understanding,Which statement best describes energy?,The ability to cause change or do work.,The amount of matter in an object.,The force acting on an object.,The distance traveled by an object.,A
CONTENT_19,2,19,Energy,Beginner,Application,S2_C19_Application,A 2 kg object is moving at 3 m/s. Which type of energy does the object have because of its motion?,Thermal energy,Chemical energy,Kinetic energy,Nuclear energy,C
CONTENT_19,2,19,Energy,Beginner,Reasoning,S2_C19_Reasoning,"A ball is held at a height above the ground and then released. As it falls, what happens to its gravitational potential energy?",It increases.,It decreases.,It remains exactly the same.,It becomes zero immediately.,B
CONTENT_19,2,19,Energy,Beginner,Problem Solving,S2_C19_Problem_Solving,"A 2 kg object is moving at 4 m/s. Using KE = ½mv², what is its kinetic energy?",4 J,8 J,16 J,32 J,C
CONTENT_19,2,19,Energy,Beginner,Misconception Detection,S2_C19_Misconception_Detection,"A student says: ""When a ball falls, its gravitational potential energy disappears completely."" Which statement identifies the mistake?",Energy can be transformed into other forms rather than simply disappearing.,Gravitational potential energy always increases during a fall.,Falling objects cannot have kinetic energy.,Energy exists only when an object is at rest.,A
CONTENT_19,2,19,Energy,Beginner,Transfer,S2_C19_Transfer,A student uses a battery-powered flashlight. Which energy transformation mainly occurs when the flashlight is turned on?,Chemical energy → electrical energy → light energy,Kinetic energy → nuclear energy → light energy,Thermal energy → chemical energy → sound energy,Gravitational energy → electrical energy → nuclear energy,A
