subject_id,concept_id,concept_name,difficulty,question_type,question_id,question_text,option_a,option_b,option_c,option_d,correct_answer
1,3,Linear Equations,Beginner,Understanding,S1_C3_Understanding,Which equation is linear in one variable?,x² + 2 = 6,1/x = 4,2x + 3 = 7,x³ = 8,C
1,3,Linear Equations,Beginner,Application,S1_C3_Application,Solve the equation x + 7 = 12.,x = 3,x = 5,x = 4,x = 19,B
1,3,Linear Equations,Beginner,Reasoning,S1_C3_Reasoning,"If 3x = 18, which operation isolates x?",Add 3 to both sides.,Divide both sides by 3.,Multiply both sides by 3.,Subtract 3 from both sides.,B
1,3,Linear Equations,Beginner,Problem Solving,S1_C3_Problem_Solving,"A taxi charges a fixed fee of 5 dollars plus 2 dollars per kilometer. If the total fare is 17 dollars, how many kilometers were traveled?",6 km,5 km,8 km,11 km,A
1,3,Linear Equations,Beginner,Misconception Detection,S1_C3_Misconception_Detection,A student solves 2x + 4 = 10 by subtracting 4 from the left side only. Why is this invalid?,Because subtraction is never allowed in equations.,Because x cannot appear in a linear equation.,Because the same operation must be applied to both sides to preserve equality.,Because 10 is not a valid constant.,C
1,3,Linear Equations,Beginner,Transfer,S1_C3_Transfer,A number increased by 9 is equal to 20. Which equation represents this situation?,x - 9 = 20,9x = 20,x + 20 = 9,x + 9 = 20,D
1,4,Ratios and Proportions,Beginner,Understanding,S1_C4_Understanding,What does the ratio 2:3 mean?,The difference between the quantities is always 3.,The two quantities must both equal 3.,There are 2 parts for every 3 corresponding parts.,The total of the quantities must be 2.,C
1,4,Ratios and Proportions,Beginner,Application,S1_C4_Application,"The ratio of red balls to blue balls is 2:5. If there are 4 red balls, how many blue balls are there?",7,10,8,12,B
1,4,Ratios and Proportions,Beginner,Reasoning,S1_C4_Reasoning,Which ratio is equivalent to 3:4?,6:8,6:7,9:16,12:9,A
1,4,Ratios and Proportions,Beginner,Problem Solving,S1_C4_Problem_Solving,A recipe uses 3 cups of flour for every 2 cups of milk. How many cups of flour are needed for 6 cups of milk?,9 cups,8 cups,6 cups,12 cups,A
1,4,Ratios and Proportions,Beginner,Misconception Detection,S1_C4_Misconception_Detection,A student says that 2:3 and 2:6 are equivalent ratios because both begin with 2. What is wrong with the student's claim?,Equivalent ratios must have identical second terms.,Ratios can only contain numbers greater than 5.,The first number in a ratio must always be larger.,Equivalent ratios require the corresponding terms to be multiplied or divided by the same nonzero factor.,D
1,4,Ratios and Proportions,Beginner,Transfer,S1_C4_Transfer,"On a map, 1 centimeter represents 5 kilometers. Two cities are 4 centimeters apart on the map. What is their actual distance?",9 km,15 km,25 km,20 km,D
1,5,Basic Geometry,Beginner,Understanding,S1_C5_Understanding,How many degrees are in the interior angles of a triangle altogether?,90°,360°,270°,180°,D
1,5,Basic Geometry,Beginner,Application,S1_C5_Application,A rectangle has a length of 8 cm and a width of 3 cm. What is its area?,11 cm²,24 cm²,22 cm²,48 cm²,B
1,5,Basic Geometry,Beginner,Reasoning,S1_C5_Reasoning,A triangle has angles of 50° and 60°. What is the measure of its third angle?,60°,80°,70°,90°,C
1,5,Basic Geometry,Beginner,Problem Solving,S1_C5_Problem_Solving,A square has a side length of 6 cm. What is its perimeter?,24 cm,18 cm,12 cm,36 cm,A
1,5,Basic Geometry,Beginner,Misconception Detection,S1_C5_Misconception_Detection,A student says that the area of a rectangle with length 5 cm and width 4 cm is 18 cm² because 5 + 4 = 9 and then 9 × 2 = 18. What is the correct evaluation?,The student is incorrect because the area is 5 × 4 = 20 cm².,The student is correct because rectangle area is found by adding all sides.,The student is incorrect because the area is 5 + 4 = 9 cm².,The student is correct because perimeter and area are calculated the same way.,A
1,5,Basic Geometry,Beginner,Transfer,S1_C5_Transfer,A rectangular garden is 10 meters long and 4 meters wide. A path is built around its boundary. What measurement describes the total distance around the garden?,Area,Volume,Diagonal,Perimeter,D
1,6,Quadratic Equations,Intermediate,Understanding,S1_C6_Understanding,Which statement correctly describes the solutions of a quadratic equation such as x² - 5x + 6 = 0?,It can have at most one real solution.,It can have two real solutions.,It must have exactly three real solutions.,It can never have real solutions.,B
1,6,Quadratic Equations,Intermediate,Application,S1_C6_Application,Solve x² - 5x + 6 = 0.,x = 2 or x = 3,x = 1 or x = 6,x = -2 or x = -3,x = 5 or x = 6,A
1,6,Quadratic Equations,Intermediate,Reasoning,S1_C6_Reasoning,"For x² - 7x + 12 = 0, which factorization correctly represents the equation?",(x - 2)(x - 6) = 0,(x + 2)(x + 6) = 0,(x - 3)(x - 4) = 0,(x + 3)(x + 4) = 0,C
1,6,Quadratic Equations,Intermediate,Problem Solving,S1_C6_Problem_Solving,"A rectangular garden has an area of 48 m². Its length is 2 meters greater than its width. If the width is x meters, which equation represents the situation?",x + (x + 2) = 48,2x + 2 = 48,x(x + 2) = 48,x(x - 2) = 48,C
1,6,Quadratic Equations,Intermediate,Misconception Detection,S1_C6_Misconception_Detection,A student factors x² - 9 as (x - 9)(x + 9). What is the error?,The difference of squares is x² - 9 = (x - 3)(x + 3).,The difference of squares is x² - 9 = (x - 9)².,The expression cannot be factored.,The expression equals (x + 3)².,A
1,6,Quadratic Equations,Intermediate,Transfer,S1_C6_Transfer,"The height of an object is modeled by h(t) = -t² + 6t, where t is time in seconds. At what times is the object at ground level, assuming ground level means h(t) = 0?",t = 3 and t = 6,t = 1 and t = 5,t = 2 and t = 4,t = 0 and t = 6,D
1,7,Functions,Intermediate,Understanding,S1_C7_Understanding,Which condition must be true for a relation to represent a function?,Each input is paired with exactly one output.,Each output is paired with exactly one input.,Every input must equal its output.,Every function must have two outputs for each input.,A
1,7,Functions,Intermediate,Application,S1_C7_Application,"For f(x) = x² - 2x + 3, what is f(4)?",7,9,11,13,C
1,7,Functions,Intermediate,Reasoning,S1_C7_Reasoning,"If f(x) = 3x - 2 and f(x) = 13, what is x?",3,5,4,6,B
1,7,Functions,Intermediate,Problem Solving,S1_C7_Problem_Solving,"A school charges a registration fee of 20 dollars plus 5 dollars for each workshop attended. If a student attends x workshops, which function gives the total cost?",C(x) = 20x + 5,C(x) = 25x,C(x) = 5x + 20,C(x) = 20 + 5,C
1,7,Functions,Intermediate,Misconception Detection,S1_C7_Misconception_Detection,A student claims that f(x) = x² is not a function because both 2 and -2 produce the output 4. What is the correct evaluation?,The claim is incorrect because different inputs may have the same output.,The claim is correct because every output must have one input.,The claim is correct because x² has no outputs.,The claim is incorrect only when x is positive.,A
1,7,Functions,Intermediate,Transfer,S1_C7_Transfer,A temperature converter is represented by C(F) = (5/9)(F - 32). What Celsius temperature corresponds to 68°F?,10°C,15°C,25°C,20°C,D
1,8,Systems of Equations,Intermediate,Understanding,S1_C8_Understanding,What does it mean for an ordered pair to be a solution of a system of two equations?,It satisfies only the first equation.,It satisfies both equations simultaneously.,It satisfies only the second equation.,It has equal x and y values.,B
1,8,Systems of Equations,Intermediate,Application,S1_C8_Application,Solve the system x + y = 9 and x - y = 3.,"(6, 3)","(3, 6)","(4, 5)","(5, 4)",A
1,8,Systems of Equations,Intermediate,Reasoning,S1_C8_Reasoning,"For the system 2x + y = 8 and x + y = 5, which value of x is obtained by subtracting the second equation from the first?",2,3,4,5,B
1,8,Systems of Equations,Intermediate,Problem Solving,S1_C8_Problem_Solving,"At a school event, 30 tickets were sold. Adult tickets cost 8 dollars and student tickets cost 5 dollars. The total revenue was 210 dollars. If x is the number of adult tickets and y is the number of student tickets, which system represents the situation?",8x + 5y = 30 and x + y = 210,x - y = 30 and 8x - 5y = 210,x + y = 30 and 8x + 5y = 210,x + y = 210 and 8x + 5y = 30,C
1,8,Systems of Equations,Intermediate,Misconception Detection,S1_C8_Misconception_Detection,A student finds x = 4 from one equation in a system and says the solution is x = 4 without finding y. Why is this incomplete?,A system solution normally requires the values of all variables that satisfy every equation.,The value of x can never be part of a system.,Systems of equations contain no variables.,The student must always find three variables.,A
1,8,Systems of Equations,Intermediate,Transfer,S1_C8_Transfer,Two numbers have a sum of 18 and a difference of 4. Which system can be used to find the two numbers x and y?,x + y = 4 and xy = 18,x - y = 18 and x + y = 4,xy = 18 and x - y = 4,x + y = 18 and x - y = 4,D
1,9,Trigonometry,Intermediate,Understanding,S1_C9_Understanding,"In a right triangle, which ratio represents cosine of an angle θ?",Opposite ÷ Hypotenuse,Hypotenuse ÷ Adjacent,Opposite ÷ Adjacent,Adjacent ÷ Hypotenuse,D
1,9,Trigonometry,Intermediate,Application,S1_C9_Application,"In a right triangle, the adjacent side to θ is 8 cm and the hypotenuse is 10 cm. What is cos(θ)?",0.6,0.7,0.8,0.9,C
1,9,Trigonometry,Intermediate,Reasoning,S1_C9_Reasoning,A right triangle has opposite side 5 and adjacent side 12 relative to θ. What is tan(θ)?,12/5,5/12,5/13,12/13,B
1,9,Trigonometry,Intermediate,Problem Solving,S1_C9_Problem_Solving,"A ramp is 10 m long and rises 6 m vertically. If θ is the angle between the ramp and the horizontal ground, which trigonometric ratio can be used directly to find θ?",cos(θ) = 10/6,cos(θ) = 6/10,tan(θ) = 10/6,sin(θ) = 6/10,D
1,9,Trigonometry,Intermediate,Misconception Detection,S1_C9_Misconception_Detection,A student calculates tan(θ) as adjacent ÷ opposite. What is the correct evaluation?,That ratio is tangent and is always correct.,Tangent is hypotenuse ÷ opposite.,"Tangent is opposite ÷ adjacent, so the student's ratio is reversed.",Tangent cannot be used in a right triangle.,C
1,9,Trigonometry,Intermediate,Transfer,S1_C9_Transfer,"A support cable forms a right triangle with a vertical pole and horizontal ground. Relative to the angle at the ground, the vertical pole is the opposite side and the cable is the hypotenuse. Which ratio relates the pole height to the cable length?",Sine,Cosine,Tangent,None of these,A
1,10,Probability,Intermediate,Understanding,S1_C10_Understanding,"For equally likely outcomes, which expression gives the probability of an event?",Favorable outcomes + Total possible outcomes,Total possible outcomes ÷ Favorable outcomes,Favorable outcomes ÷ Total possible outcomes,Total possible outcomes - Favorable outcomes,C
1,10,Probability,Intermediate,Application,S1_C10_Application,A fair six-sided die is rolled once. What is the probability of rolling a number greater than 4?,1/3,1/6,1/2,2/3,A
1,10,Probability,Intermediate,Reasoning,S1_C10_Reasoning,"A bag contains 4 red, 3 blue, and 3 green balls. One ball is selected at random. What is the probability of selecting a ball that is not red?",2/5,7/10,1/2,3/5,D
1,10,Probability,Intermediate,Problem Solving,S1_C10_Problem_Solving,A box contains 5 white cards and 3 black cards. Two cards are drawn without replacement. What is the probability that both cards are white?,5/8,5/14,25/64,10/21,B
1,10,Probability,Intermediate,Misconception Detection,S1_C10_Misconception_Detection,"A student says that if an event has probability 0.7, its complement must also have probability 0.7. What is the error?",The probability of every complement is always 0.,The probability of an event and its complement must add to 1.,The probability of a complement must be greater than 1.,An event and its complement always have equal probability.,B
1,10,Probability,Intermediate,Transfer,S1_C10_Transfer,"A weather model estimates a 30% chance of rain tomorrow. What is the probability that it will not rain, assuming rain and no rain are complementary outcomes?",70%,50%,30%,100%,A
1,11,Limits,Advanced,Understanding,S1_C11_Understanding,"If lim(x→2) f(x) = 5, which statement must be true about the values of f(x) when x is sufficiently close to 2, even if f(2) itself is undefined?",f(x) can be made arbitrarily close to 5 by taking x sufficiently close to 2.,f(x) is exactly equal to 5 for every x near 2.,f(2) must equal 5.,f(x) must be defined at x = 2.,A
1,11,Limits,Advanced,Application,S1_C11_Application,Evaluate lim(x→0) [sin(3x)]/x.,0,1,3,Does not exist,C
1,11,Limits,Advanced,Reasoning,S1_C11_Reasoning,Suppose lim(x→2) f(x) = 5 and lim(x→2) g(x) = -3. What is lim(x→2) [2f(x) - g(x)]?,7,10,-13,13,D
1,11,Limits,Advanced,Problem Solving,S1_C11_Problem_Solving,"For f(x) = (x² - 16)/(x - 4), x ≠ 4, what value should be assigned at x = 4 to make f continuous?",4,6,8,16,C
1,11,Limits,Advanced,Misconception Detection,S1_C11_Misconception_Detection,"A student says that if f(5) is undefined, then lim(x→5) f(x) must also be undefined. What is the correct evaluation?",The claim is always correct because a limit requires f(5),The claim is incorrect only for polynomial functions,The claim is correct because limits only exist at defined points,"The claim is incorrect because a limit depends on nearby values, not necessarily f(5)",D
1,11,Limits,Advanced,Transfer,S1_C11_Transfer,"A temperature model is defined by h(t) = (t² - 9)/(t - 3), t ≠ 3. The model has a removable discontinuity at t = 3. What value should be assigned to h(3) to remove the discontinuity?",0,6,3,9,B
1,12,Derivatives,Advanced,Understanding,S1_C12_Understanding,"For a differentiable function f, if f′(a)=0 and f″(a)>0, which conclusion follows from the second derivative test?",The function is decreasing on an interval around x=a.,The function has a local maximum at x=a.,The function has an inflection point at x=a.,The function has a local minimum at x=a.,D
1,12,Derivatives,Advanced,Application,S1_C12_Application,"If f(x) = x³ - 4x² + 2x, what is f′(2)?",-2,0,2,6,A
1,12,Derivatives,Advanced,Reasoning,S1_C12_Reasoning,"For the function f(x)=−x³+3x², which conclusion follows from the fact that f′(2)=0 and f″(2)<0?",The function is increasing at x=2.,The function has a local minimum at x=2.,The function has a local maximum at x=2.,The function has an inflection point at x=2.,C
1,12,Derivatives,Advanced,Problem Solving,S1_C12_Problem_Solving,A particle has position s(t) = t³ - 6t² + 9t. At which times is its velocity zero?,t = 1 only,t = 0 and t = 3,t = 1 and t = 3,t = 3 only,C
1,12,Derivatives,Advanced,Misconception Detection,S1_C12_Misconception_Detection,A student claims that the derivative of f(x)=x²sin(x) is f′(x)=2xsin(x). Which reasoning correctly identifies the student's mistake?,The student differentiated only the first factor and ignored the derivative of the second factor.,The student used the quotient rule instead of the product rule.,The student differentiated sin(x) as cos(x) but forgot to differentiate x².,The student should have used the power rule on the entire expression before differentiating.,A
1,12,Derivatives,Advanced,Transfer,S1_C12_Transfer,A company's cost is C(x) = x² + 20x + 100. What does C′(30) represent?,The total cost of producing 30 units,The instantaneous rate at which cost changes when production is 30 units,The average cost per unit at 30 units,The fixed cost of the company,B
1,13,Integrals,Advanced,Understanding,S1_C13_Understanding,"If F is an antiderivative of f on [a,b], which statement correctly explains the relationship between F and the definite integral of f?",The definite integral of f from a to b equals the net change in F from a to b.,The definite integral of f from a to b always equals F(a)+F(b).,The definite integral of f from a to b depends only on the value of f at the endpoints.,The definite integral of f from a to b is equal to the derivative of F at b.,A
1,13,Integrals,Advanced,Application,S1_C13_Application,Evaluate ∫₀² 3x² dx.,4,6,8,12,C
1,13,Integrals,Advanced,Reasoning,S1_C13_Reasoning,"If F′(x) = f(x), which expression gives ∫ₐᵇ f(x) dx?",F(a) + F(b),F(b) - F(a),F′(b) - F′(a),F(b) ÷ F(a),B
1,13,Integrals,Advanced,Problem Solving,S1_C13_Problem_Solving,A particle has velocity v(t) = 2t + 3. What is its displacement from t = 0 to t = 4?,28,24,20,32,A
1,13,Integrals,Advanced,Misconception Detection,S1_C13_Misconception_Detection,A student claims that ∫₀² [f(x)+g(x)] dx = (∫₀² f(x) dx)(∫₀² g(x) dx). Which statement correctly identifies the student's misconception?,The student used the constant multiple rule instead of the substitution rule.,The student forgot that definite integrals can only be used when both functions are positive.,The student should differentiate f(x) and g(x) before integrating their sum.,"The student treated the integral of a sum as a product of integrals, but integration is linear over addition.",D
1,13,Integrals,Advanced,Transfer,S1_C13_Transfer,A tank is filled at a rate r(t) = 5t liters per minute. How much water enters the tank from t = 0 to t = 4 minutes?,20 liters,30 liters,50 liters,40 liters,D
1,14,Linear Algebra,Advanced,Understanding,S1_C14_Understanding,"For a square matrix A, if Av=λv for a nonzero vector v, what does λ represent?",Rank,Determinant,Eigenvalue,Trace,C
1,14,Linear Algebra,Advanced,Application,S1_C14_Application,"Given A=[[1,2],[0,1]] and B=[[2,1],[1,0]], what is the matrix product AB?","[[2,1],[1,2]]","[[2,3],[0,1]]","[[3,1],[1,1]]","[[4,1],[1,0]]",D
1,14,Linear Algebra,Advanced,Reasoning,S1_C14_Reasoning,"Let u = (1, 2) and v = (2, 4). What can be concluded about u and v?",They are linearly independent because they are different vectors,They span a three-dimensional space,They are orthogonal because their components are proportional,They are linearly dependent because v = 2u,D
1,14,Linear Algebra,Advanced,Problem Solving,S1_C14_Problem_Solving,Solve the system x + y = 5 and 2x - y = 4. What is the solution?,"(2, 3)","(4, 1)","(3, 2)","(1, 4)",C
1,14,Linear Algebra,Advanced,Misconception Detection,S1_C14_Misconception_Detection,A student claims that any two nonzero vectors are automatically linearly independent. What is the correct evaluation?,The claim is correct because zero is the only cause of dependence,The claim is incorrect because nonzero vectors can be scalar multiples of each other,The claim is correct only in two-dimensional spaces,The claim is incorrect only when both vectors have negative components,B
1,14,Linear Algebra,Advanced,Transfer,S1_C14_Transfer,Why are matrices useful for representing linear transformations?,They allow linear transformations to be represented and composed through matrix operations,They guarantee that every transformation is nonlinear,They eliminate the need for vectors in every problem,They can represent only transformations that preserve length,A
1,15,Advanced Probability,Advanced,Understanding,S1_C15_Understanding,Two events A and B have positive probabilities. Which statement best distinguishes independence from mutual exclusivity?,"If two events are independent, one must cause the other.",Independent events must have P(A∩B)=0.,Mutually exclusive events always satisfy P(A∩B)=P(A)P(B).,"Independence means P(A∩B)=P(A)P(B), while mutual exclusivity means P(A∩B)=0.",D
1,15,Advanced Probability,Advanced,Application,S1_C15_Application,"A fair die is rolled twice. Given that the sum of the two rolls is at least 10, what is the probability that both rolls are 6?",1/12,1/9,1/6,1/3,C
1,15,Advanced Probability,Advanced,Reasoning,S1_C15_Reasoning,"Events A and B satisfy P(A)=0.7, P(B)=0.5, and P(A ∪ B)=0.9. What can be concluded about their independence?",They are independent because P(A ∪ B) is less than 1,They are independent because both probabilities are greater than 0.5,Their independence cannot be determined because the intersection probability is unknown,"They are not independent because P(A ∩ B)=0.3, which differs from P(A)P(B)=0.35",D
1,15,Advanced Probability,Advanced,Problem Solving,S1_C15_Problem_Solving,A box contains 5 red and 7 blue balls. Three balls are drawn without replacement. What is the probability that exactly two of the three balls are red?,7/22,5/22,7/20,5/18,A
1,15,Advanced Probability,Advanced,Misconception Detection,S1_C15_Misconception_Detection,"A student argues: If P(A)=0.8 and P(B)=0.7, then P(A ∩ B)=0.56 because the probabilities of any two events can always be multiplied. What is the precise error in the student's reasoning?",The multiplication rule can never be used for intersections,"The multiplication rule applies only when A and B are independent, or when an appropriate conditional probability is used",An intersection probability must always be greater than both individual probabilities,The multiplication rule requires P(A) and P(B) to be equal,B
1,15,Advanced Probability,Advanced,Transfer,S1_C15_Transfer,"A disease affects 2% of a population. A test has 95% sensitivity and 90% specificity. If a person tests positive, what is the approximate probability that the person actually has the disease?",2%,90%,16.2%,95%,C
2,16,Measurement and Units,Beginner,Understanding,S2_C16_Understanding,Which statement best describes the purpose of using standard units in physics?,They make measurements comparable and consistent.,They make every measurement larger.,They eliminate the need for measuring instruments.,They make all physical quantities dimensionless.,A
2,16,Measurement and Units,Beginner,Application,S2_C16_Application,A student measures the length of a table as 2.5 meters. Which value expresses the same length in centimeters?,25 cm,250 cm,2500 cm,0.025 cm,B
2,16,Measurement and Units,Beginner,Reasoning,S2_C16_Reasoning,A student records the length of an object as 5 m and another student records it as 500 cm. Why can these measurements represent the same physical length?,The measurements use different units but describe the same length,The measurements describe different lengths,The numerical values cannot be compared at all,The centimeter measurement must be more accurate,A
2,16,Measurement and Units,Beginner,Problem Solving,S2_C16_Problem_Solving,A car travels 3.2 km. How many meters does it travel?,320 m,32 m,3200 m,32000 m,C
2,16,Measurement and Units,Beginner,Misconception Detection,S2_C16_Misconception_Detection,"A student says, 'A measurement of 10 centimeters is greater than a measurement of 2 meters because 10 is greater than 2.' What is wrong with this reasoning?",All measurements must be expressed in kilometers.,Centimeters cannot measure length.,Meters are not units of length.,The numerical values cannot be compared directly without converting them to the same unit.,D
2,16,Measurement and Units,Beginner,Transfer,S2_C16_Transfer,"A recipe requires 750 mL of water, while a measuring container is marked in liters. Which amount should the student use?",0.075 L,0.75 L,7.5 L,75 L,B
2,17,Motion,Beginner,Understanding,S2_C17_Understanding,What does speed describe?,How quickly an object changes its position.,The mass of an object.,The force acting on an object.,The amount of energy stored in an object.,A
2,17,Motion,Beginner,Application,S2_C17_Application,A runner travels 100 meters in 20 seconds. What is the runner's average speed?,2000 m/s,2 m/s,20 m/s,5 m/s,D
2,17,Motion,Beginner,Reasoning,S2_C17_Reasoning,A car moves at constant speed around a curved road. Is its velocity necessarily constant?,Velocity depends on both speed and direction,Velocity stays constant whenever speed stays constant,Velocity changes only when the object's mass changes,Velocity and speed always have the same value,A
2,17,Motion,Beginner,Problem Solving,S2_C17_Problem_Solving,A cyclist travels 180 meters in 30 seconds. What is the cyclist's average speed?,9 m/s,3 m/s,5 m/s,6 m/s,D
2,17,Motion,Beginner,Misconception Detection,S2_C17_Misconception_Detection,"A student says, 'If an object is moving, its acceleration must be nonzero.' Which response is correct?","Correct, because motion always requires acceleration.","Incorrect, because an object can move at constant velocity with zero acceleration.","Correct, because velocity cannot remain constant.","Incorrect, because moving objects cannot have velocity.",B
2,17,Motion,Beginner,Transfer,S2_C17_Transfer,Two trains travel for the same amount of time. Train A travels 120 km and Train B travels 180 km. Which conclusion is justified?,Both trains have the same average speed.,Train A has the greater average speed.,Train B has the greater average speed.,There is not enough information to compare their average speeds.,C
2,18,Forces,Beginner,Understanding,S2_C18_Understanding,What is a force?,The amount of matter in an object.,A quantity that can change an object's motion or shape.,The distance traveled by an object.,The temperature of an object.,B
2,18,Forces,Beginner,Application,S2_C18_Application,A 4 kg object experiences a net force of 20 N. What is its acceleration?,80 m/s²,4 m/s²,16 m/s²,5 m/s²,D
2,18,Forces,Beginner,Reasoning,S2_C18_Reasoning,A book rests on a table. Why does the book not accelerate vertically?,Gravity stops acting when the book is supported,The forces on the book have equal magnitudes in opposite vertical directions,The table removes the book's gravitational force,The book has no forces acting on it,B
2,18,Forces,Beginner,Problem Solving,S2_C18_Problem_Solving,A net force of 30 N acts on a 6 kg object. What is its acceleration?,24 m/s²,6 m/s²,5 m/s²,180 m/s²,C
2,18,Forces,Beginner,Misconception Detection,S2_C18_Misconception_Detection,"A student says, 'If the net force on an object is zero, the object must be at rest.' What is the correct response?",False; the object may move with constant velocity.,Always true.,False; the object must accelerate.,Always true for objects with mass.,A
2,18,Forces,Beginner,Transfer,S2_C18_Transfer,A shopping cart moves at constant velocity on a straight path. What can be concluded about the net force on it?,The cart cannot have any forces acting on it.,The net force must increase continuously.,The net force must point forward.,The net force must be zero.,D
2,19,Energy,Beginner,Understanding,S2_C19_Understanding,Which statement best describes kinetic energy?,Energy that exists only when an object is at rest.,Energy stored only in chemical bonds.,Energy caused only by temperature.,Energy associated with an object's motion.,D
2,19,Energy,Beginner,Application,S2_C19_Application,"If the speed of an object doubles while its mass remains constant, what happens to its kinetic energy?",It becomes four times as large.,It doubles.,It becomes half as large.,It does not change.,A
2,19,Energy,Beginner,Reasoning,S2_C19_Reasoning,Why can a raised object have gravitational potential energy even though it is not moving?,An object at rest cannot store mechanical energy,Potential energy requires the object to be moving,Potential energy depends on position or configuration,Gravity produces energy only when an object is moving,C
2,19,Energy,Beginner,Problem Solving,S2_C19_Problem_Solving,An object of mass 2 kg moves at 3 m/s. What is its kinetic energy?,3 J,9 J,6 J,18 J,B
2,19,Energy,Beginner,Misconception Detection,S2_C19_Misconception_Detection,"A student says, 'Energy is destroyed when a moving object stops.' What is the best correction?","Energy can be transferred or transformed, such as into thermal energy.",Energy is destroyed only in cold objects.,Energy disappears whenever velocity becomes zero.,Energy cannot change form.,A
2,19,Energy,Beginner,Transfer,S2_C19_Transfer,A roller coaster reaches the top of a hill and then descends. Which energy transformation mainly occurs as it moves downward?,Kinetic energy changes into gravitational potential energy.,Thermal energy changes into gravitational potential energy.,Mass changes into energy.,Gravitational potential energy changes into kinetic energy.,D
2,20,Electricity Basics,Beginner,Understanding,S2_C20_Understanding,What is electric current?,The flow of electric charge,The resistance of a material,The energy stored in a battery,The mass of an electron,A
2,20,Electricity Basics,Beginner,Application,S2_C20_Application,A circuit carries a current of 2 A for 5 seconds. How much electric charge passes through the circuit?,0.4 C,10 C,2.5 C,25 C,B
2,20,Electricity Basics,Beginner,Reasoning,S2_C20_Reasoning,Why does a metal wire usually conduct electricity well?,Its atoms have no positively charged particles,Its structure prevents charge from moving freely,Its electrons lose their electric charge inside the wire,It contains mobile charge carriers that can move through the material,D
2,20,Electricity Basics,Beginner,Problem Solving,S2_C20_Problem_Solving,A battery provides a potential difference of 12 V across a resistor of 6 ohms. What current flows through the resistor?,0.5 A,1 A,2 A,72 A,C
2,20,Electricity Basics,Beginner,Misconception Detection,S2_C20_Misconception_Detection,"A student says, 'A battery produces electric current even when the circuit is open.' What is the main problem with this statement?",Current can only exist in plastic,Batteries cannot provide potential difference,An open circuit does not provide a complete path for continuous current,Current only exists when the battery is removed,C
2,20,Electricity Basics,Beginner,Transfer,S2_C20_Transfer,"A device is connected to a battery. If the battery voltage is increased while the device's resistance stays approximately constant, what happens to the current?",The current decreases because voltage reduces charge flow,The current disappears when the battery voltage increases,The current remains unchanged because resistance controls everything,The current increases when resistance remains approximately constant,D
2,21,Momentum,Intermediate,Understanding,S2_C21_Understanding,What does momentum describe in mechanics?,The temperature of an object,The amount of motion of an object,The volume of an object,The electrical resistance of an object,B
2,21,Momentum,Intermediate,Application,S2_C21_Application,A 4 kg object moves at 3 m/s. What is its momentum?,1.33 kg·m/s,7 kg·m/s,12 kg·m/s,24 kg·m/s,C
