priority_rank,concept_id,concept_name,mastery,gap_level,gap_score,prerequisite_gaps,blocked_by_prerequisite,gap_severity,base_priority,blocking_bonus,priority_score,priority_level
20,24,Waves,50.000000000000014,Weak,49.999999999999986,[16],True,0.75,0.5999999999999999,0.1,0.6999999999999998,Medium
21,25,Electric Circuits,50.000000000000014,Weak,49.999999999999986,[20],True,0.75,0.5999999999999999,0.1,0.6999999999999998,Medium
22,26,Thermodynamics,50.000000000000014,Weak,49.999999999999986,[19],True,0.75,0.5999999999999999,0.1,0.6999999999999998,Medium
23,29,Modern Physics,50.000000000000014,Weak,49.999999999999986,[26],True,0.75,0.5999999999999999,0.1,0.6999999999999998,Medium
24,40,Operating Systems Basics,50.000000000000014,Weak,49.999999999999986,[35],True,0.75,0.5999999999999999,0.1,0.6999999999999998,Medium
25,41,Algorithm Analysis,50.000000000000014,Weak,49.999999999999986,[36],True,0.75,0.5999999999999999,0.1,0.6999999999999998,Medium
26,43,Artificial Intelligence Fundamentals,50.000000000000014,Weak,49.999999999999986,"[32, 36]",True,0.75,0.5999999999999999,0.1,0.6999999999999998,Medium
27,4,Ratios and Proportions,50.000000000000014,Weak,49.999999999999986,[1],True,0.75,0.5249999999999999,0.1,0.6249999999999999,Medium
28,6,Quadratic Equations,50.000000000000014,Weak,49.999999999999986,[3],True,0.75,0.5249999999999999,0.1,0.6249999999999999,Medium
29,9,Trigonometry,50.000000000000014,Weak,49.999999999999986,[5],True,0.75,0.5249999999999999,0.1,0.6249999999999999,Medium
30,13,Integrals,50.000000000000014,Weak,49.999999999999986,[12],True,0.75,0.5249999999999999,0.1,0.6249999999999999,Medium
31,14,Linear Algebra,50.000000000000014,Weak,49.999999999999986,[8],True,0.75,0.5249999999999999,0.1,0.6249999999999999,Medium
32,15,Advanced Probability,50.000000000000014,Weak,49.999999999999986,[10],True,0.75,0.5249999999999999,0.1,0.6249999999999999,Medium
33,21,Momentum,50.000000000000014,Weak,49.999999999999986,[18],True,0.75,0.5249999999999999,0.1,0.6249999999999999,Medium
34,22,Work and Power,50.000000000000014,Weak,49.999999999999986,[19],True,0.75,0.5249999999999999,0.1,0.6249999999999999,Medium
35,23,Circular Motion,50.000000000000014,Weak,49.999999999999986,[18],True,0.75,0.5249999999999999,0.1,0.6249999999999999,Medium
36,27,Electromagnetism,50.000000000000014,Weak,49.999999999999986,[25],True,0.75,0.5249999999999999,0.1,0.6249999999999999,Medium
37,28,Optics,50.000000000000014,Weak,49.999999999999986,[24],True,0.75,0.5249999999999999,0.1,0.6249999999999999,Medium
38,30,Quantum Physics Basics,50.000000000000014,Weak,49.999999999999986,[29],True,0.75,0.5249999999999999,0.1,0.6249999999999999,Medium
39,34,Data Representation,50.000000000000014,Weak,49.999999999999986,[31],True,0.75,0.5249999999999999,0.1,0.6249999999999999,Medium
40,37,Object-Oriented Programming,50.000000000000014,Weak,49.999999999999986,[33],True,0.75,0.5249999999999999,0.1,0.6249999999999999,Medium
41,38,Database Fundamentals,50.000000000000014,Weak,49.999999999999986,[33],True,0.75,0.5249999999999999,0.1,0.6249999999999999,Medium
42,39,Computer Networks,50.000000000000014,Weak,49.999999999999986,[35],True,0.75,0.5249999999999999,0.1,0.6249999999999999,Medium
43,42,Advanced Data Structures,50.000000000000014,Weak,49.999999999999986,"[36, 41]",True,0.75,0.5249999999999999,0.1,0.6249999999999999,Medium
44,44,Machine Learning Fundamentals,50.000000000000014,Weak,49.999999999999986,[43],True,0.75,0.5249999999999999,0.1,0.6249999999999999,Medium
45,45,Computer Architecture,50.000000000000014,Weak,49.999999999999986,"[35, 40]",True,0.75,0.5249999999999999,0.1,0.6249999999999999,Medium
